Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.question,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P7,ux9ny0bn,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-09 19:13:01.422414+00:00,0,21,1,,,7,,7,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P19,uxytcixx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-09 19:15:07.581414+00:00,0,33,1,,,19,,19,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P14,pak8rqgt,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.211.163,2016-08-09 19:16:30.402393+00:00,0,28,1,,,14,,14,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P5,bx6etp6t,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.178.85.58,2016-08-09 19:11:27.045707+00:00,0,19,1,,,5,,5,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P18,cfvhcbqs,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-09 19:15:17.468650+00:00,0,32,1,,,18,,18,,6.5,1,1,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P7,6ka3vdrx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-09 22:06:15.709595+00:00,0,41,1,,,7,,27,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P9,6rza2p22,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-09 22:05:46.014145+00:00,0,43,1,,,9,,29,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P1,39l6xjub,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.61.152.141,2016-08-09 22:06:54.257638+00:00,0,35,1,,,1,,21,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P5,ui2o6507,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.5.200.32,2016-08-09 22:04:59.226294+00:00,0,39,1,,,5,,25,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P6,xz57rkvf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-09 22:04:25.655661+00:00,0,40,1,,,6,,26,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,aavgcaym,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-09 22:04:48.957997+00:00,0,46,1,,,12,,32,,9.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,11,,31,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,0rblqk8z,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-09 22:05:09.983129+00:00,0,44,1,,,10,,30,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P3,nlbztv8j,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 22:06:01.585342+00:00,0,37,1,,,3,,23,,6.5,2,2,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P11,enoytqa1,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.184.171.93,2016-08-22 22:30:29.823319+00:00,0,125,1,,,11,,75,,6.5,5,5,1,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P1,ut05vfix,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-22 22:28:31.035820+00:00,0,115,1,,,1,,65,,6.0,5,5,1,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P10,ydsge81s,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.33.196.195,2016-08-22 22:30:33.853887+00:00,0,124,1,,,10,,74,,6.5,5,5,1,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P5,doui53it,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.201.32,2016-08-22 22:29:19.633131+00:00,0,119,1,,,5,,69,,6.5,5,5,1,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P12,t9kl2n8x,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.220.50,2016-08-22 22:30:17.425605+00:00,0,126,1,,,12,,76,,6.5,5,5,1,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P9,9o9clpsq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-22 17:38:18.596573+00:00,0,99,1,,,9,,61,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P5,ee6dngxr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-22 17:39:05.178238+00:00,0,95,1,,,5,,57,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P1,tpmnllyw,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.185.250,2016-08-22 17:38:34.927355+00:00,0,91,1,,,1,,53,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P8,mihn323q,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-22 17:38:31.594973+00:00,0,98,1,,,8,,60,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P7,z6185o9m,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.183.121,2016-08-22 17:38:42.115072+00:00,0,97,1,,,7,,59,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P6,2z3woarf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.98.230,2016-08-22 17:38:52.462263+00:00,0,96,1,,,6,,58,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P11,w8txiz3u,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-22 17:37:54.880974+00:00,0,101,1,,,11,,63,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P3,l739scml,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.65.93.238,2016-08-22 17:39:16.840737+00:00,0,93,1,,,3,,55,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P10,bkdkazck,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.73.88,2016-08-22 17:38:06.930981+00:00,0,100,1,,,10,,62,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P12,0a2wbu80,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-22 17:37:41.508841+00:00,0,102,1,,,12,,64,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P2,24wb7l7g,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.37.199.190,2016-08-22 17:38:46.764842+00:00,0,92,1,,,2,,54,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P4,ngpbmulp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.95.237.20,2016-08-22 17:39:17.156757+00:00,0,94,1,,,4,,56,,6.5,4,4,1,2t6cux37,,,200.00000,,,,,5000.00,,1,
P9,6mcqmn3a,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.146.193.23,2016-08-16 22:17:59.042577+00:00,0,67,1,,,9,,41,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P3,zbhrt3yc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.79.185.47,2016-08-16 22:20:33.288391+00:00,0,61,1,,,3,,35,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P12,de415sya,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.220.50,2016-08-16 22:16:53.590970+00:00,0,70,1,,,12,,44,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P16,mitz5qa2,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.50.142,2016-08-16 22:13:55.815439+00:00,0,74,1,,,16,,48,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P19,06uknenq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.168.185.139,2016-08-16 22:12:34.691839+00:00,0,77,1,,,19,,51,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P14,46dd8ux0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.152.216,2016-08-16 22:15:08.578762+00:00,0,72,1,,,14,,46,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P11,crz4fq8h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-16 22:17:03.787727+00:00,0,69,1,,,11,,43,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P20,o8kuwvob,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.81.228.101,2016-08-16 22:12:10.045511+00:00,0,78,1,,,20,,52,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P13,jtg3crtq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.201.32,2016-08-16 22:15:39.902576+00:00,0,71,1,,,13,,45,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P5,hpex9zmb,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-16 22:19:42.897996+00:00,0,63,1,,,5,,37,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P15,ybhs2ly6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-16 22:14:30.468073+00:00,0,73,1,,,15,,47,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P4,gp60ys17,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.30.50.142,2016-08-16 22:20:04.611630+00:00,0,62,1,,,4,,36,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P7,lnxg8m7n,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-16 22:18:56.456619+00:00,0,65,1,,,7,,39,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
P8,04i0e3tc,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.164.188.200,2016-08-16 22:18:28.801257+00:00,0,66,1,,,8,,40,,6.5,3,3,1,bvnew5m2,,,200.00000,,,,,5000.00,,1,
