Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P3,nlbztv8j,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 22:06:01.585342+00:00,0,37,1,,,1,,3,4.1,1,11,37,0,1,0,1,5,11,23.4,3.1,1,1,2,1,3,9,8,11,2,12,9,5,2,5,5,4,1,35,36,37,38,39,40,41,42,43,44,45,46,8.1,3.7,9.0,2.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P7,z6185o9m,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.183.121,2016-08-22 17:38:42.115072+00:00,0,97,1,,,3,,67,7.4,5,1,97,0,0,1,1,36,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P4,ngpbmulp,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.95.237.20,2016-08-22 17:39:17.156757+00:00,0,94,1,,,1,,64,4.4,3,9,94,0,1,0,3,35,16,21.6,1.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P9,9o9clpsq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-22 17:38:18.596573+00:00,0,99,1,,,1,,69,5.4,3,7,99,0,0,1,1,36,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P1,tpmnllyw,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.185.250,2016-08-22 17:38:34.927355+00:00,0,91,1,,,4,,61,2.4,0,12,91,0,0,1,1,36,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P12,0a2wbu80,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.102.236.103,2016-08-22 17:37:41.508841+00:00,0,102,1,,,4,,72,4.4,3,9,102,0,1,0,3,35,16,21.6,1.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P2,24wb7l7g,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.37.199.190,2016-08-22 17:38:46.764842+00:00,0,92,1,,,2,,62,6.4,5,3,92,0,1,0,3,35,16,21.6,1.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P6,2z3woarf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.98.230,2016-08-22 17:38:52.462263+00:00,0,96,1,,,2,,66,6.4,4,3,96,1,0,0,1,34,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P10,bkdkazck,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.73.88,2016-08-22 17:38:06.930981+00:00,0,100,1,,,4,,70,6.4,4,3,100,1,0,0,1,34,13,22.6,2.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P11,w8txiz3u,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-22 17:37:54.880974+00:00,0,101,1,,,3,,71,6.4,5,3,101,0,1,0,3,35,16,21.6,1.4,6,1,1,3,1,12,3,9,9,1,3,1,7,7,3,3,9,91,92,93,94,95,96,97,98,99,100,101,102,7.4,2.4,7.0,4.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
