Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.extraction,Player.partial_pay,Player.ranking,Player.auxiliar,Player.aux_2_1,Player.aux_2_2,Player.aux_2_3,Player.gp_ranking,Group.id,Group.total_extraction,Group.total_payment,Group.group_loss,Subsession.id,Subsession.round_number,Subsession.multi_uno,Subsession.multi_dos,Subsession.multi_tres,Subsession.rank_uno,Subsession.rank_dos,Subsession.rank_tres,Subsession.rank_p_1,Subsession.rank_p_2,Subsession.rank_p_3,Subsession.rank_p_4,Subsession.rank_p_5,Subsession.rank_p_6,Subsession.rank_p_7,Subsession.rank_p_8,Subsession.rank_p_9,Subsession.rank_p_10,Subsession.rank_p_11,Subsession.rank_p_12,Subsession.posit_1,Subsession.posit_2,Subsession.posit_3,Subsession.posit_4,Subsession.posit_5,Subsession.posit_6,Subsession.posit_7,Subsession.posit_8,Subsession.posit_9,Subsession.posit_10,Subsession.posit_11,Subsession.posit_12,Subsession.max_pay,Subsession.min_pay,Subsession.max_fund,Subsession.min_fund,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P1,sjcpjyj5,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.239.229,2016-08-24 19:22:20.332262+00:00,0,159,1,,,4,,361,7.0,5,7.4,3,159,1,0,0,2,184,13,22.6,2.4,31,1,0.95,0.95,1.10,2,2,1,3,7,12,3,3,7,10,10,6,9,1,2,159,160,161,162,163,164,165,166,167,168,169,170,9.0,3.2,12.0,7.0,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P6,skf3koob,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.35.233.184,2016-08-22 22:29:38.557601+00:00,0,120,1,,,4,,246,6.4,3,5.8,3,120,1,0,0,1,124,12,23.2,2.8,21,1,1.10,1,0.90,1,2,3,11,2,7,12,1,3,7,6,9,10,3,3,115,116,117,118,119,120,121,122,123,124,125,126,8.6,3.7,8.0,6.0,m7yiq95t,,,200.00000,,,,,5000.00,,1,
P7,z6185o9m,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.183.121,2016-08-22 17:38:42.115072+00:00,0,97,1,,,1,,127,5.4,0,4.9,9,97,1,0,0,1,64,6,25.6,4.9,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P2,24wb7l7g,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.37.199.190,2016-08-22 17:38:46.764842+00:00,0,92,1,,,2,,122,2.9,0,3.1,12,92,0,1,0,2,65,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P5,aqz8kpeg,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.170.144.135,2016-08-24 19:22:26.031067+00:00,0,163,1,,,2,,365,7.0,5,7.4,3,163,1,0,0,2,184,13,22.6,2.4,31,1,0.95,0.95,1.10,2,2,1,3,7,12,3,3,7,10,10,6,9,1,2,159,160,161,162,163,164,165,166,167,168,169,170,9.0,3.2,12.0,7.0,0fpbzs3z,,,200.00000,,,,,5000.00,,1,
P9,9o9clpsq,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.180.37.142,2016-08-22 17:38:18.596573+00:00,0,99,1,,,1,,129,5.8,3,6.1,7,99,0,1,0,2,65,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P10,bkdkazck,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.73.88,2016-08-22 17:38:06.930981+00:00,0,100,1,,,4,,130,6.7,4,7.1,4,100,0,1,0,2,65,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P6,2z3woarf,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.179.98.230,2016-08-22 17:38:52.462263+00:00,0,96,1,,,3,,126,6.7,4,7.1,4,96,0,1,0,2,65,11,23.4,3.1,11,1,1.10,0.95,0.95,1,2,2,6,12,11,1,2,4,9,10,7,4,7,3,91,92,93,94,95,96,97,98,99,100,101,102,8.7,2.9,14.0,9.0,2t6cux37,,,200.00000,,,,,5000.00,,1,
P11,52oux9ov,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.193.29,2016-08-09 22:04:58.893949+00:00,0,45,1,,,1,,35,6.4,2,5.8,4,45,0,1,0,1,17,9,24.2,3.8,3,3,0.90,1.10,1,3,1,2,8,8,10,12,3,2,7,1,4,4,4,10,35,36,37,38,39,40,41,42,43,44,45,46,8.1,4.0,11.0,4.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,0rblqk8z,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-09 22:05:09.983129+00:00,0,44,1,,,4,,34,6.4,2,5.8,4,44,0,1,0,1,17,9,24.2,3.8,3,3,0.90,1.10,1,3,1,2,8,8,10,12,3,2,7,1,4,4,4,10,35,36,37,38,39,40,41,42,43,44,45,46,8.1,4.0,11.0,4.0,zt62io3i,,,200.00000,,,,,5000.00,,1,
