Participant._id_in_session,Participant.code,Participant.label,Participant._current_page,Participant._current_app_name,Participant._round_number,Participant._current_page_name,Participant.status,Participant.ip_address,Participant.time_started,Participant.exclude_from_data_analysis,Participant.name,Participant.visited,Participant.mturk_worker_id,Participant.mturk_assignment_id,Player.id_in_group,Player.role,Player.id,Player.payoff,Player.q_age,Player.q_gender,Player.q_estrato,Player.q_game_part,Player.q_part_time,Player.q_graduated,Player.q_career_1,Player.q_career_2,Player.q_postgraduate,Player.q_master_1,Player.q_master_2,Player.p_risk,Player.p_compet_1,Player.p_compet_2,Player.p_compet_3,Player.p_compet_4,Player.p_compet_5,Player.p_compet_6,Player.g_pref_stage,Player.g_pref_rk_1,Player.g_pref_rk_2,Player.g_pref_rk_3,Player.p_trust_1,Player.p_trust_2,Player.p_trust_3,Player.p_trust_4,Player.p_trust_5,Group.id,Subsession.id,Subsession.round_number,Session.code,Session.label,Session.experimenter_name,Session.real_world_currency_per_point,Session.time_scheduled,Session.time_started,Session.mturk_HITId,Session.mturk_HITGroupId,Session.participation_fee,Session.comment,Session.is_demo,Session.use_cli_bots
P12,p7w5tvwx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-09 19:14:35.804216+00:00,0,26,1,,,12,,24,0,26,Hombre,6,NO,0,NO,Ingenieria Civil,ninguna,SI,ninguna,ninguna,7,2,3,1,3,3,3,2,1,3,1,2,2,1,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P10,ygzuap52,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-05 19:18:38.847825+00:00,0,12,1,,,10,,10,0,14,Hombre,4,SI,2,NO,2,2,SI,2,2,1,1,3,2,1,1,3,2,1,2,1,3,1,3,1,1,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P13,dj3geo8v,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.13.198.97,2016-08-09 19:21:40.050152+00:00,0,27,1,,,13,,25,0,22,Hombre,4,NO,0,NO,Ingeniería Mecánica,ninguna,NO,ninguna,ninguna,9,2,3,1,4,2,2,2,3,2,3,3,1,2,2,3,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P17,lmwbwm9r,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.63.227.88,2016-08-09 19:15:27.456846+00:00,0,31,1,,,17,,29,0,22,Hombre,4,NO,0,NO,Ciencia Politica,ninguna,NO,ninguna,ninguna,7,2,2,2,2,3,2,2,1,3,3,3,2,2,3,3,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P14,pak8rqgt,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.211.163,2016-08-09 19:16:30.402393+00:00,0,28,1,,,14,,26,0,21,Mujer,4,NO,0,NO,Ingeniería Civil ,Ninguna,NO,Ninguna,Ninguna,7,2,2,1,1,1,1,3,1,2,3,2,1,2,3,1,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P9,ldpi3uce,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.168.218.13,2016-08-05 19:20:16.163209+00:00,0,11,1,,,9,,9,0,16,Mujer,3,SI,1,SI,2,3,SI,3,4,5,1,3,1,2,2,3,2,1,1,1,2,1,1,1,2,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P8,3vzjst6h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.43.211.163,2016-08-05 19:20:29.442392+00:00,0,10,1,,,8,,8,0,16,Mujer,5,SI,3,NO,33,3,SI,33,3,4,1,3,3,1,1,3,2,1,1,1,2,2,2,2,1,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P7,7aufe3ja,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.141.33.163,2016-08-05 19:21:25.707976+00:00,0,9,1,,,7,,7,0,17,Mujer,2,SI,6,SI,4,5,SI,5,5,3,2,4,3,2,2,3,1,2,2,1,2,1,1,4,2,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P6,d6vtkqgr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.152.55.197,2016-08-05 19:22:03.734766+00:00,0,8,1,,,6,,6,0,15,Mujer,2,NO,3,NO,d,d,SI,de,d,4,1,1,1,2,1,3,1,1,1,1,2,2,1,1,1,1,1,1,ntpyqyaq,,,200.00000,,,,,5000.00,,1,
P7,ux9ny0bn,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.69.216.189,2016-08-09 19:13:01.422414+00:00,0,21,1,,,7,,19,0,20,Mujer,5,SI,1,NO,Derecho ,Psicología ,NO,ninguna,ninguna,3,3,3,2,3,3,2,1,1,2,3,3,1,4,2,4,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P9,1p4mbvk0,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.149.116.169,2016-08-09 19:13:33.414855+00:00,0,23,1,,,9,,21,0,19,Hombre,4,SI,1,NO,Ingeniería Industria,ninguna,NO,ninguna,ninguna,3,3,1,2,3,2,2,1,1,2,1,3,2,3,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P8,l9chuk3h,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.237.244.41,2016-08-09 19:12:51.335767+00:00,0,22,1,,,8,,20,0,24,Hombre,2,NO,0,SI,Matemáticas,ningun,SI,Maestría en Mat,NINGUNA,8,3,3,2,3,3,2,2,1,3,1,1,1,3,3,3,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P1,6fi813ri,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.148.0.210,2016-08-09 19:08:06.012539+00:00,0,15,1,,,1,,13,0,22,Mujer,4,NO,0,NO,Biología ,Ninguna,NO,Ninguna,Ninguna,7,2,2,1,3,3,2,2,1,3,1,3,2,3,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P2,u822nmmr,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.165.96.2,2016-08-09 19:09:09.440803+00:00,0,16,1,,,2,,14,0,21,Hombre,6,NO,0,NO,Ingeria civil,Ingenieria Ambiental,NO,ninguna,ninguna,6,3,3,2,3,1,2,2,1,2,3,2,2,3,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P16,1fhot1y2,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.111.206.121,2016-08-09 19:15:51.009761+00:00,0,30,1,,,16,,28,0,22,Mujer,5,NO,0,NO,Ciencia Política,Gobierno y asuntos p,NO,NINGUNA,NINGUNA,8,2,2,2,3,2,2,3,1,3,2,3,1,2,2,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P11,nwovfl10,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.236.24.103,2016-08-09 19:14:11.443016+00:00,0,25,1,,,11,,23,0,22,Mujer,5,NO,0,NO,Ingenieria Quimica,ninguna,NO,ninguna,ninguna,8,3,3,2,3,2,2,2,1,2,1,2,2,2,3,2,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P15,byiczgs6,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.187.91.49,2016-08-09 19:16:08.751210+00:00,0,29,1,,,15,,27,0,18,Hombre,5,NO,0,NO,Ciencia Política,Derecho,NO,Ninguna,Ninguna,4,2,3,1,3,2,2,2,1,2,1,2,2,3,3,1,2,2,1,uopnajrp,,,200.00000,,,,,5000.00,,1,
P7,6ka3vdrx,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.158.172.100,2016-08-09 22:06:15.709595+00:00,0,41,1,,,7,,39,0,20,Mujer,3,NO,0,NO,Economia,Ninguna,NO,ninguna,ninguna,6,1,2,2,3,2,2,2,3,2,1,3,3,2,3,3,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P9,6rza2p22,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.142.28.175,2016-08-09 22:05:46.014145+00:00,0,43,1,,,9,,41,0,20,Hombre,4,SI,1,NO,Ing. Electrónica,Ing. Eléctrica,NO,ninguna,ninguna,7,3,2,2,3,1,2,2,3,2,1,2,2,3,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P2,pcf7gm29,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.186.213.164,2016-08-09 22:10:35.221718+00:00,0,36,1,,,2,,34,0,19,Mujer,4,SI,1,NO,Matemáticas,ninguna,NO,ninguna,ninguna,7,2,2,1,3,2,2,2,2,2,2,3,2,3,2,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P12,aavgcaym,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.51.167.27,2016-08-09 22:04:48.957997+00:00,0,46,1,,,12,,44,0,26,Hombre,4,NO,0,SI,Ingeniero de Minas,ninguna,SI,Maestría Ing Civil,ninguna,8,2,3,1,3,2,2,3,2,3,1,1,3,2,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P10,0rblqk8z,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.93.189.130,2016-08-09 22:05:09.983129+00:00,0,44,1,,,10,,42,0,19,Hombre,3,NO,0,NO,ING. INDUSTRIAL,ING. SISTEMAS,NO,NINGUNA,NINGUNA,8,2,2,1,2,2,2,2,1,2,1,2,2,2,4,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
P5,ui2o6507,,121/121 pages,MLG_survey,1,Payment_info,Playing,10.5.200.32,2016-08-09 22:04:59.226294+00:00,0,39,1,,,5,,37,0,26,Hombre,4,NO,0,NO,Ingenieria Industria,Ninguna,SI,ninguna,ninguna,8,1,3,2,3,2,2,2,3,2,1,2,2,2,3,2,3,3,1,zt62io3i,,,200.00000,,,,,5000.00,,1,
